run_id,model_id,element_key,global_id,ids_version,specification,requirement,status,severity,ifc_class,element_name,expected,actual,reason
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-004B: Air terminals need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,N/A,INFO,,,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-005A: Duct segments need assumed EPC metadata,EPC_Delivery.AssetTag,N/A,INFO,,,AssetTag data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-005A: Duct segments need assumed EPC metadata,EPC_Delivery.SystemCode,N/A,INFO,,,SystemCode data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.AssetTag,N/A,INFO,,,AssetTag data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.SystemCode,N/A,INFO,,,SystemCode data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,hvac,,,0.1,R-001: Walls must have a name,Name,N/A,INFO,,,The Name shall be provided,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,hvac,,,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,N/A,INFO,,,IsExternal data shall be provided in the dataset Pset_WallCommon,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,hvac,,,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,N/A,INFO,,,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,hvac,hvac::38WbwIGD90nB_3T2BTU5Ed,38WbwIGD90nB_3T2BTU5Ed,0.1,R-004A: Duct segments need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,PASS,INFO,IfcDuctSegment,building element,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,hvac,hvac::23uPJWDfXEcwHH3kdFgV9c,23uPJWDfXEcwHH3kdFgV9c,0.1,R-004B: Air terminals need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,PASS,INFO,IfcAirTerminal,chimney cover,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,Requirement satisfied.
